route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
2444_900,2444,900,Parramatta Free Shuttle,Sydney Buses Network,700,00B5EF,FFFFFF
2444_901,2444,901,Holsworthy to Liverpool via Wattle Grove,Sydney Buses Network,700,00B5EF,FFFFFF
2444_902,2444,902,Holsworthy to Liverpool via Moorebank,Sydney Buses Network,700,00B5EF,FFFFFF
2444_902X,2444,902X,Sandy Point to Holsworthy via Voyager Point,Sydney Buses Network,700,00B5EF,FFFFFF
2444_903,2444,903,Liverpool to Chipping Norton (Loop Service),Sydney Buses Network,700,00B5EF,FFFFFF
2444_904,2444,904,Fairfield to Liverpool,Sydney Buses Network,700,00B5EF,FFFFFF
2444_905,2444,905,Bankstown to Fairfield,Sydney Buses Network,700,00B5EF,FFFFFF
2444_906,2444,906,Fairfield to Parramatta,Sydney Buses Network,700,00B5EF,FFFFFF
2444_907,2444,907,Bankstown to Parramatta via Bass Hill,Sydney Buses Network,700,00B5EF,FFFFFF
2444_908,2444,908,Merrylands to Bankstown via Birrong & Auburn,Sydney Buses Network,700,00B5EF,FFFFFF
2444_909,2444,909,Bankstown to Parramatta via Birrong & Auburn,Sydney Buses Network,700,00B5EF,FFFFFF
2444_911,2444,911,Auburn to Bankstown via Georges Hall,Sydney Buses Network,700,00B5EF,FFFFFF
2444_913,2444,913,Bankstown to Strathfield,Sydney Buses Network,700,00B5EF,FFFFFF
2444_914,2444,914,Greenacre to Strathfield,Sydney Buses Network,700,00B5EF,FFFFFF
2444_915,2444,915,Lidcombe to U Sydney Lidcombe Cmps (Loop Service),Sydney Buses Network,700,00B5EF,FFFFFF
2444_916,2444,916,Chester Hill to Guildford,Sydney Buses Network,700,00B5EF,FFFFFF
2444_925,2444,925,East Hills to Lidcombe via Bankstown,Sydney Buses Network,700,00B5EF,FFFFFF
2444_M90,2444,M90,Burwood to Liverpool,Sydney Buses Network,700,00B5EF,FFFFFF
2444_M91,2444,M91,Hurstville to Parramatta via Padstow & Chester Hill,Sydney Buses Network,700,00B5EF,FFFFFF
2444_N30,2444,N30,Macarthur to City Town Hall,Sydney Buses Network,700,00B5EF,FFFFFF
2444_N40,2444,N40,East Hills to City Town Hall,Sydney Buses Network,700,00B5EF,FFFFFF
2444_NW1,2444,NW1,Tallawong to Chatswood ,Sydney Buses Network,700,00B5EF,FFFFFF
2444_NW2,2444,NW2,Tallawong to Chatswood (Limited Stops),Sydney Buses Network,700,00B5EF,FFFFFF
2444_S1,2444,S1,Cabramatta to Lansvale (Loop Service),Sydney Buses Network,700,00B5EF,FFFFFF
2444_S115,2444,S115,Sutherland Shire School to Westfields Hurstville vi Alford Pt,School Buses,712,00B5EF,FFFFFF
2444_S132,2444,S132,Picnic Point HS to Padstow Station,School Buses,712,00B5EF,FFFFFF
2444_S173,2444,S173,"Delany College to Woodville Rd after William St, Granville",School Buses,712,00B5EF,FFFFFF
2444_S176,2444,S176,Sefton HS to Yagoona Station,School Buses,712,00B5EF,FFFFFF
2444_S186,2444,S186,East Hills PS to Bankstown Hospital,School Buses,712,00B5EF,FFFFFF
2444_S2,2444,S2,Sefton to Granville,Sydney Buses Network,700,00B5EF,FFFFFF
2444_S3,2444,S3,Chrisholm Road to Auburn,Sydney Buses Network,700,00B5EF,FFFFFF
2444_S4,2444,S4,Chester Hill to Fairfield via Carramar & Villawood,Sydney Buses Network,700,00B5EF,FFFFFF
2444_S400,2444,S400,Chester Hill HS to Chester Hill Station,School Buses,712,00B5EF,FFFFFF
2444_S401,2444,S401,"Buist St opp Walshaw Park, Bass hill to Trinity College",School Buses,712,00B5EF,FFFFFF
2444_S402,2444,S402,"Auburn Rd before Alexander St, Yagoona to Chester Hill HS",School Buses,712,00B5EF,FFFFFF
2444_S403,2444,S403,Chester Hill HS to Chester Hill Station,School Buses,712,00B5EF,FFFFFF
2444_S404,2444,S404,"Granville Station to Elliston St at Hecor St, Chester Hill",School Buses,712,00B5EF,FFFFFF
2444_S405,2444,S405,"Trinitiy College to Auburn Rd before Church Rd, Yagoona",School Buses,712,00B5EF,FFFFFF
2444_S406,2444,S406,"Birrong Girls HS to Walshaw Park, Yagoona",School Buses,712,00B5EF,FFFFFF
2444_S407,2444,S407,"Trinity College to Miller Rd before Barbers Rd, Chester Hill",School Buses,712,00B5EF,FFFFFF
2444_S408,2444,S408,"Chester Hill HS to Brodie St before Auburn Rd, Yagoona",School Buses,712,00B5EF,FFFFFF
2444_S409,2444,S409,"Campbell Hill Rd before Moora St, Chester Hill to Trinity College",School Buses,712,00B5EF,FFFFFF
2444_S410,2444,S410,Chester Hill HS to Guildford Station,School Buses,712,00B5EF,FFFFFF
2444_S412,2444,S412,"Rose St at Ernest St, Sefton to Trinity College via Berala",School Buses,712,00B5EF,FFFFFF
2444_S413,2444,S413,Bass Hill HS to Bankstown Station,School Buses,712,00B5EF,FFFFFF
2444_S414,2444,S414,"Trinity College to Walshaw Park, Yagoona",School Buses,712,00B5EF,FFFFFF
2444_S423,2444,S423,Granville Station to Our Lady of Mercy College,School Buses,712,00B5EF,FFFFFF
2444_S424,2444,S424,"Granville Station to Blaxcell St before Rawson Rd, South Granville",School Buses,712,00B5EF,FFFFFF
2444_S425,2444,S425,Delany College to Merrylands Station,School Buses,712,00B5EF,FFFFFF
2444_S426,2444,S426,"Normanby St before Tangerine St, Fairfield East to Our Lady of Lebanon",School Buses,712,00B5EF,FFFFFF
2444_S427,2444,S427,Macathur Girls HS to Granville Station,School Buses,712,00B5EF,FFFFFF
2444_S428,2444,S428,"Our Lady of Lebanon to Normansby St before Tangerine St, Fairfield East",School Buses,712,00B5EF,FFFFFF
2444_S429,2444,S429,"Rawson Rd after Excelsior St, Guildford to Our Lady of Lebanon",School Buses,712,00B5EF,FFFFFF
2444_S430,2444,S430,"Holy Trinity PS to Louis St at The Avenue, Granville",School Buses,712,00B5EF,FFFFFF
2444_S432,2444,S432,Old Guildford PS to Holy Trinity PS,School Buses,712,00B5EF,FFFFFF
2444_S434,2444,S434,"Our Lady of Lebanon to Excelsior St after Adam St, Guildford",School Buses,712,00B5EF,FFFFFF
2444_S435,2444,S435,"Donald St at Orchardleigh St, Guildford to Our Lady of Lebanon",School Buses,712,00B5EF,FFFFFF
2444_S436,2444,S436,"Our Lady of Lebnon to Excelsior St at Farnell St, Merrylands",School Buses,712,00B5EF,FFFFFF
2444_S438,2444,S438,"Our Lady of Lebanon to Broughton St after South Pde, Old Guildford",School Buses,712,00B5EF,FFFFFF
2444_S440,2444,S440,Granville Station to Merrylands HS,School Buses,712,00B5EF,FFFFFF
2444_S441,2444,S441,Cerdon College to Merrylands Station,School Buses,712,00B5EF,FFFFFF
2444_S443,2444,S443,Granville PS to Delany College via South Granville,School Buses,712,00B5EF,FFFFFF
2444_S445,2444,S445,Delany College to Old Guildford PS,School Buses,712,00B5EF,FFFFFF
2444_S446,2444,S446,"Our Lady of Lebanon to Springfield Park, Old Guildford",School Buses,712,00B5EF,FFFFFF
2444_S447,2444,S447,"Broughton St after Shackel Av, Old Guildford to Our Lady of Lebanon",School Buses,712,00B5EF,FFFFFF
2444_S452,2444,S452,"Cerdon College to Woolworths Blaxcell St after Thomas St, Granville",School Buses,712,00B5EF,FFFFFF
2444_S5,2444,S5,Milperra to Padstow via Panania,Sydney Buses Network,700,00B5EF,FFFFFF
2444_S500,2444,S500,Birrong Girls HS to The Boulevarde at Liverpool Rd Bankstown,School Buses,712,00B5EF,FFFFFF
